media_item_id,ingest_timestamp,primary_title,secondary_title,artist_id,media_cover_url
311,2022-05-19 13:42:22.772233,Melanie Martinez - Cake (Lyrics),,95,https://i.ytimg.com/vi/0cCJ3jrsBhs/default.jpg
329,2022-05-19 12:31:23.003136,Doja Cat - Need to Know (Official Video),Need To Know,7,https://i.ytimg.com/vi/dI3xkL7qUAc/default.jpg
339,2022-05-19 13:44:52.700714,Clean Bandit - Symphony (feat. Zara Larsson) [Official Video],,1,https://i.ytimg.com/vi/aatr_2MstrI/default.jpg
356,2022-05-19 13:12:19.177286,Feid - Castigo (Official Video),Castigo,,https://i.ytimg.com/vi/AOamtC2_r7k/default.jpg
362,2022-05-19 13:44:52.76123,Nelly - Just A Dream (Official Music Video),Just A Dream,177,https://i.ytimg.com/vi/N6O2ncUKvlg/default.jpg
370,2022-05-19 13:44:53.137481,Bebe Rexha - Meant to Be (feat. Florida Georgia Line) [Official Music Video],Meant to Be (feat. Florida Georgia Line),146,https://i.ytimg.com/vi/zDo0H8Fm7d0/default.jpg
436,2022-05-19 13:44:50.899858,Katy Perry - Dark Horse (Official) ft. Juicy J,Dark Horse (feat. Juicy J),211,https://i.ytimg.com/vi/0KSOMA3QBU0/default.jpg
447,2022-05-19 13:13:13.6765,Jackboy - Pardon Me (Official Video),Pardon Me,,https://i.ytimg.com/vi/AjBVWlo_iYw/mqdefault.jpg
451,2022-05-19 13:44:51.957488,Ex Habit - Who Do You Want (Official Music Video),,,https://i.ytimg.com/vi/IocU3uxrYf8/default.jpg
488,2022-05-19 13:44:44.713637,Maroon 5 - One More Night (Official Music Video),One More Night,156,https://i.ytimg.com/vi/fwK7ggA3-bU/default.jpg
499,2022-05-19 13:13:13.21758,Grupo Firme - De Trago En Trago  - (Official Video),De Trago En Trago,,https://i.ytimg.com/vi/rJHRY3DU-vc/mqdefault.jpg
529,2022-05-19 13:23:21.617846,Xero - County Grown (Official Video),,,https://i.ytimg.com/vi/W2lyCUcF1NM/default.jpg
