"cm_track","track","isrc","cm_artist","artist"
60907274,"Cant Help Falling in Love","USJ3V2086185",3176,"Sam Smith"
13962752,"Pigalle","QMZSY1600014",4310,"DJ Snake"
22398036,"in my head","USUM71900407",3963,"Ariana Grande"
20333274,"Dinero - Radio Edit","USSM11800467",177,"Jennifer Lopez"
11162738,"Destin","CAC229500008",43,"Céline Dion"
12487308,"And I Love You So","GBARL0500702",1054,"Rick Astley"
38494179,"Gahdamn","QMEZE2045109",1787087,"Hitkidd"
15937790,"I Don't Care","USUM71603413",3963,"Ariana Grande"
15910413,"Sexify My Love","USUM70828894",209987,"New Kids On The Block"
58795813,"Twice","GBAYE2101062",1092969,"S1mba"
30225503,"Joke's On You!","USAT22000468",430760,"Oliver Tree"
22126484,"The Scientist - Love In Tokyo Version","GBAYE1801037",439,"Coldplay"
12528602,"Every Teardrop Is A Waterfall - Single Version","GBAYE1100774",439,"Coldplay"
22084914,"A Sky Full of Stars (Live in Buenos Aires)","GBAYE1801107",439,"Coldplay"
60272624,"Si No Te Tengo - Commentary","US4D21400118",3928,"Farruko"
78190255,"good 4 u (FOREIGN MERCY Remix) [Mixed]","US23A1920620",260477,"Olivia Rodrigo"
28789087,"Affluenza","USUM71924262",562618,"Conan Gray"
24528542,"This Love - Karaoke Version","USCJY1531539",2762,"Taylor Swift"
12569342,"Hometown Glory","GBBKS0700588",3079,"Adele"
24691467,"Never Really Over - Wow & Flutter Remix","USUM71914664",2482,"Katy Perry"
16614170,"One Away","JMI031600002",2912,"Sean Kingston"
68044597,"It'll Be Okay","USUM72122321",4934,"Shawn Mendes"
19189953,"Don''t Cha Hate This When I Grow Up Medley - Dave Aude Mix","USUM70851418",2081,"The Pussycat Dolls"
52683758,"Para Tu Amor","QMBZ92124529",644506,"Carolina Gaitán - La Gaita"
20359394,"dear insecurity (feat. ben abraham)","USAT21810523",5594,"Garrett Nash"
47158330,"YAC Alma Mater - From ""High School Musical: The Musical: The Series (Season 2)""/Nini Version","USWD12111001",260477,"Olivia Rodrigo"
15936304,"No Sense","USUM71516764",3479,"Justin Bieber"
15917489,"All The Right Moves - Live from Dortmund","USUM71017340",2796,"OneRepublic"
15936309,"Get Used To It","USUM71516769",3479,"Justin Bieber"
15925106,"Beauty And A Beat - DJ Laszlo Body Rock Radio Mix","USUM71215339",3479,"Justin Bieber"
15935944,"Cake By The Ocean","USUM71514636",5332,"DNCE"
15940504,"Fetish (feat. Gucci Mane)","USUM71703352",3168,"Selena Gomez"
14614332,"Si Te Pego Cuerno","US4D21200116",3928,"Farruko"
78045856,"TO THE MOON - Gunna Remix","USSM12202426",1343500,"Jnr Choi"
48831924,"I Wake Up","CH7812194098",1690956,"dezabel"
28563430,"Until The End Of Time (with Beyoncé) - Future Presidents Remix","USJI10700849",1450,"Justin Timberlake"
72563900,"Cabelo Cacheado","BRWMB2101221",5011,"LUDMILLA"
20161066,"Race","AEA0Q1888909",4397,"Melanie Martinez"
22782575,"Get To Know Me","BRWMB1900222",4520,"Anitta"
54528174,"Interview Part 4 - Take40.com Live Lounge","USUM70754707",1546,"Maroon 5"
18688842,"Jambo - Hakuna Matata (No Problems)","DED168300002",735,"Boney M."
15191289,"Long Live","USCJY1003668",2762,"Taylor Swift"
83047772,"Mufasa (feat. G Herbo)","QMCE32200329",643734,"OMB Peezy"
26395562,"Change U","TCADS1887023",1341576,"NoCap"
32016316,"River","USWD12099763",260477,"Olivia Rodrigo"
32619026,"Outro : STILL","JPPO02004348",1414812,"TOMORROW X TOGETHER"
12528719,"Major Minus","GBAYE1101194",439,"Coldplay"
16254472,"Car Radio","USHM21159143",4018,"Twenty One Pilots"
16030463,"Silence - Naderi Remix","USWB11701313",5699,"THEY."
27218205,"She Wolf - El Dorado World Tour Live","USQX91902762",308,"Shakira"
23368287,"Unfaithful - Nu Soul Remix","USUM70604930",2316,"Rihanna"
11058985,"Somebody To Love Me","BEX561100085",1759,"Mark Ronson"
15117260,"Love Don't Love Me - Justin Timberlake","USBB40580359",1450,"Justin Timberlake"
15416785,"Cum On Everybody","USIR19902069",236,"Eminem"
63725322,"Miracle Drip","QZES61887259",1787087,"Hitkidd"
27599015,"P.S. I Hope You're Happy","USQX91903240",4796,"The Chainsmokers"
50477084,"Lemonade - Topakabana Remix","MXF811200213",17916,"Alexandra Stan"
15079075,"The Only Difference Between Martyrdom and Suicide is Press Coverage - Tommie Sunshine Brooklyn Fire Remix","USAT20611292",2260,"Panic! At The Disco"
15678974,"Still Got Time - Team Salut Remix","USRC11700851",207124,"ZAYN"
13075823,"Teenage Dream - Live","GBUM71405551",4477,"5 Seconds of Summer"
22729847,"Hold on My Heart (Live in Paris 7/21/1998) - Remastered","USRH11803867",47,"Phil Collins"
20418053,"Side Effects (feat. Emily Warren) - Nolan van Lith Remix","USQX91802172",4796,"The Chainsmokers"
72113204,"Sunset beyond window","TCAFU2198162",1702,"Sia"
80876338,"Sour Grapes","USA2P2219221",9149614,"LE SSERAFIM"
22999728,"Para Olvidarme","MXUM71900322",40359,"Christian Nodal"
33495861,"Bad Day All Week","GBMA21890447",3176,"Sam Smith"
15896199,"Secrets","USUG11600984",3852,"The Weeknd"
32433095,"you broke me first (Remix) [Mixed]","US23A1521181",550577,"Tate McRae"
28692093,"Lost Soul","CA5KR2016899",3492318,"Bway Yungy"
22170385,"Oceans - Live At The Enmore Theatre, Sydney","GBAYE1601600",439,"Coldplay"
33207879,"My Head &amp; My Heart - Claptone Remix","USAT22100459",717113,"Ava Max"
15932536,"Something Big","USUM71415364",4934,"Shawn Mendes"
59717671,"Jump Start","NOG842114010",5451,"Alan Walker"
68273808,"Wait On Me - Charley's Remix","USUM71416067",4821,"Rixton"
19285505,"Se Te Esta Acabando el Tiempo","USHM21330761",207633,"La Adictiva Banda San José de Mesillas"
31077811,"love nwantiti (feat. Frizzo, Joeboy & Kuami Eugene) - German Remix","ZA34K2000406",919695,"CKay"
13073926,"Make It To Me","GBUM71308372",3176,"Sam Smith"
62955319,"I can't look at you","USUM72116641",257641,"Jeremy Zucker"
20648321,"Hair Body Face","USUM71813201",3188,"Lady Gaga"
32879242,"Overdrive","USUM72100678",562618,"Conan Gray"
12022320,"Balans - French Version","FIBAR1700206",17916,"Alexandra Stan"
19181547,"No la Puedo Olvidar","QZ8251814954",665663,"Paulo Londra"
15674344,"Something's Got A Hold On Me - Burlesque Original Motion Picture Soundtrack","USRC11000894",166,"Christina Aguilera"
15939008,"What's Love Got To Do With It","USUM71608838",5332,"DNCE"
74535280,"NO DRAMA","USSD12200120",224838,"Rauw Alejandro"
20630527,"Space (Interlude)","USRC11802878",4778,"MAGIC!"
20855852,"Mess","USUYG1221805",720461,"Trevor Daniel"
20270868,"Run the Road","GBKPL1814781",3370,"Santigold"
12968622,"Home","GBMQN1500028",4457,"Passenger"
28406989,"Intentions (feat. Quavo)","USUM72001302",3479,"Justin Bieber"
15415063,"Tell Your Mama Come - live from the House Of Blues, Chicago","USIR10312445",728,"Black Eyed Peas"
21924527,"My Where I Come From","USRN11800088",5408,"Kane Brown"
49508017,"Colorado","DEVP22100003",4566,"Milky Chance"
32401058,"Caro","QMGR32263023",1424691,"Julianno Sosa"
65264965,"People of The Pride","GBAYE2101414",439,"Coldplay"
14382972,"Man Down","TCACQ1666930",257641,"Jeremy Zucker"
23133645,"One","DEUM71900683",550208,"Lewis Capaldi"
52446843,"Embrujo","QMBZ92124511",644506,"Carolina Gaitán - La Gaita"
18267814,"Swerve","QMCE31801604",643734,"OMB Peezy"
16083197,"Motley Crew - Gener8ion Remix","USYBL1600104",5699,"THEY."
21411023,"Our Story","USRC11502228",3450,"R. City"
53819271,"Rockabye (feat. Sean Paul & Anne-Marie)","GBAHS1600394",4135,"Clean Bandit"
31003559,"Bad Day All Week","GBMA21891045",3176,"Sam Smith"
65289344,"I'll Be Home For Christmas","USRC12102731",550577,"Tate McRae"
36087967,"Even When/The Best Part - From ""High School Musical: The Musical: The Series (Season 2)""","USWD12110783",260477,"Olivia Rodrigo"
15047984,"Queen Of The Night - CJ Mackintosh Mix/Remastered: 2000","USAR10000244",247,"Whitney Houston"
15711297,"Excuses","USRN11600052",5408,"Kane Brown"
18730350,"Go To Town","USRC11800465",217671,"Doja Cat"
80643978,"TO THE MOON (Drill Remix) [feat. Fivio Foreign, M24 & Sam Tompkins]","USSM12202826",1343500,"Jnr Choi"
78963869,"Hurtless","AUUM72100595",210947,"Dean Lewis"
33089117,"Rebolar - Dalto Max Remix","BRUM71800230",647232,"Luísa Sonza"
30543637,"Someone You Loved","GBLLT2010969",550208,"Lewis Capaldi"
26127845,"Picking Up the Pieces - Flexican and SirO Instrumental","GBARL1202054",3421,"Paloma Faith"
22972838,"Call Out My Name - A Cappella","USUG11901347",3852,"The Weeknd"
68084520,"Looks Like Me - Guitar Acoustic","AUUM72100554",210947,"Dean Lewis"
15783477,"Halo - Olli Collins & Fred Portelli Remix","USSM10901857",2838,"Beyoncé"
31090224,"La Luz","QZES71937924",1424691,"Julianno Sosa"
12495509,"Is This Really Love","GBARL9100144",1054,"Rick Astley"
61453360,"It's Not Over","ZAC010700280",481267,"Audiogroove"
15049382,"Tonight's the Night","USAR10301098",672,"P!nk"
15416767,"Just Don't Give A Fuck - A Cappella","USIR19802006",236,"Eminem"
12446791,"I'll Never Break Your Heart - Radio Edit","GBAHK9500321",160,"Backstreet Boys"
83068337,"Skyfall","ZAC011201106",481267,"Audiogroove"
15924869,"Call Me Maybe","USUM71213805",3397,"Carly Rae Jepsen"
27552418,"Blinding Lights","USUG11904206",3852,"The Weeknd"
12968534,"Travelling Song","GBMQN1000007",4457,"Passenger"
17837866,"Mars (feat. Lil Uzi Vert)","USUYG1170956",567931,"Maxo Kream"
49881404,"Rough Love","AEA0Q1888901",4397,"Melanie Martinez"
11128118,"Sim ou não (Participação especial Maluma)","BRWMB1600438",4520,"Anitta"
16037911,"I Learned From You","USWD10629509",2619,"Miley Cyrus"
20656779,"Free Room (Man Without a Clue Remix)","USAT21701247",209695,"Ravyn Lenae"
16038925,"Magic - Originally Recorded by Pilot","USWD10936604",3168,"Selena Gomez"
83057715,"Cameo","USAT22203864",209695,"Ravyn Lenae"
15675768,"Rooting for My Baby","USRC11301274",2619,"Miley Cyrus"
55464044,"SOMETHING LIKE YOU","QZK6M2117632",1343500,"Jnr Choi"
24578932,"Brothers (feat. KCG Josh)","USRC11901961",567931,"Maxo Kream"
14918053,"Hurts So Bad","USA560308897",2053,"John Legend"
17981302,"I'm a Freak (Salim-Sulaiman Remix)","GBUM71401833",531,"Enrique Iglesias"
15079655,"It's OK, But Just This Once!","USAT20615693",1776,"Gym Class Heroes"
65624756,"Dadada","USRC12102919",720461,"Trevor Daniel"
19255614,"Fallin' All In You","USUM71804960",4934,"Shawn Mendes"
15636564,"Tattoos On Her A** Part 2","USQY51108701",3754,"French Montana"
21859196,"Lullaby","USWB11801973",4170,"Lukas Graham"
13077079,"Killing Me","GBUM71503016",4270,"John Newman"
18038537,"Broadway","USRC11502216",3450,"R. City"
22284333,"wait","USAT21812989",5594,"Garrett Nash"
15798543,"What You Do to Me","USSM11606980",2053,"John Legend"
15049627,"Nobody's Home - Live Acoustic Version","USAR10400380",1316,"Avril Lavigne"
15674381,"4 Real","USRC11100016",1316,"Avril Lavigne"
24753264,"Call You Mine - Asketa & Natan Chaim Remix","USQX91901801",4796,"The Chainsmokers"
15728361,"Santa Claus Llegó a la Ciudad","USSD11300354",207633,"La Adictiva Banda San José de Mesillas"
69383614,"Absence of You","GBKPL2175210",3644040,"grentperez"
35767929,"Funhouse (Edited) [Live]","USLF20900081",672,"P!nk"
35115032,"My Love","QZ22B1787208",1450,"Justin Timberlake"
31571790,"Middle (feat. Bipolar Sunshine) [VIP] [Mixed]","US23A1517036",4310,"DJ Snake"
54621651,"Lewi ‘Beautiful Day’","USUM71410313",4821,"Rixton"
82954641,"Scared To Be Lonely - DubVision Remix - Mixed","SE5VF2200341",5381,"Dua Lipa"
22059373,"Desde el Corazón","USASN1801126",214945,"Bad Bunny"
23907227,"Mine Right Now - Acoustic","GBUM71902636",538222,"Sigrid"
44721826,"Esta bien","NLS6R1711949",665663,"Paulo Londra"
81455715,"Sweetest Pie - David Guetta Festival Remix Extended","QMCE32200363",788785,"Megan Thee Stallion"
